close,contract,date,open,rolled
3861.8,IF2309.CCFX,2023-08-15,3874.0,0
3831.0,IF2309.CCFX,2023-08-16,3844.6,0
3846.6,IF2309.CCFX,2023-08-17,3816.2,0
3789.4,IF2309.CCFX,2023-08-18,3846.8,0
3734.8,IF2309.CCFX,2023-08-21,3778.8,0
3761.0,IF2309.CCFX,2023-08-22,3753.0,0
3705.0,IF2309.CCFX,2023-08-23,3754.4,0
3730.0,IF2309.CCFX,2023-08-24,3722.8,0
3720.6,IF2309.CCFX,2023-08-25,3710.0,0
3757.2,IF2309.CCFX,2023-08-28,3922.0,0
3796.4,IF2309.CCFX,2023-08-29,3757.4,0
3794.0,IF2309.CCFX,2023-08-30,3810.0,0
3776.8,IF2309.CCFX,2023-08-31,3798.0,0
3796.8,IF2309.CCFX,2023-09-01,3794.8,0
3857.0,IF2309.CCFX,2023-09-04,3827.6,0
3826.2,IF2309.CCFX,2023-09-05,3844.8,0
3817.2,IF2309.CCFX,2023-09-06,3813.0,0
3761.2,IF2309.CCFX,2023-09-07,3807.2,0
3739.4,IF2309.CCFX,2023-09-08,3751.0,0
3770.0,IF2309.CCFX,2023-09-11,3745.8,0
3766.6,IF2309.CCFX,2023-09-12,3765.0,0
3739.6,IF2309.CCFX,2023-09-13,3766.4,0
3737.6,IF2309.CCFX,2023-09-14,3740.0,0
3726.6,IF2310.CCFX,2023-09-15,3748.8,1
3743.8,IF2310.CCFX,2023-09-18,3710.0,0
3736.4,IF2310.CCFX,2023-09-19,3737.0,0
3720.2,IF2310.CCFX,2023-09-20,3726.4,0
3684.0,IF2310.CCFX,2023-09-21,3710.2,0
3763.2,IF2310.CCFX,2023-09-22,3687.0,0
3731.4,IF2310.CCFX,2023-09-25,3753.0,0
3712.6,IF2310.CCFX,2023-09-26,3728.6,0
3721.6,IF2310.CCFX,2023-09-27,3714.6,0
3701.0,IF2310.CCFX,2023-09-28,3730.0,0
3690.6,IF2310.CCFX,2023-10-09,3693.4,0
3663.2,IF2310.CCFX,2023-10-10,3711.6,0
3671.0,IF2310.CCFX,2023-10-11,3683.0,0
3710.0,IF2310.CCFX,2023-10-12,3707.0,0
3671.0,IF2310.CCFX,2023-10-13,3684.0,0
3628.8,IF2310.CCFX,2023-10-16,3675.0,0
3640.6,IF2310.CCFX,2023-10-17,3633.8,0
3613.2,IF2310.CCFX,2023-10-18,3637.0,0
3536.6,IF2310.CCFX,2023-10-19,3588.2,0
3521.6,IF2311.CCFX,2023-10-20,3523.0,1
3470.8,IF2311.CCFX,2023-10-23,3508.0,0
3493.2,IF2312.CCFX,2023-10-24,3489.0,1
3511.2,IF2312.CCFX,2023-10-25,3529.6,0
3526.0,IF2312.CCFX,2023-10-26,3498.0,0
3581.2,IF2312.CCFX,2023-10-27,3518.2,0
3594.0,IF2312.CCFX,2023-10-30,3570.6,0
3586.6,IF2312.CCFX,2023-10-31,3585.8,0
3583.8,IF2312.CCFX,2023-11-01,3609.8,0
3565.2,IF2312.CCFX,2023-11-02,3595.0,0
3596.8,IF2312.CCFX,2023-11-03,3577.0,0
3645.2,IF2312.CCFX,2023-11-06,3620.0,0
3633.8,IF2312.CCFX,2023-11-07,3635.0,0
3620.4,IF2312.CCFX,2023-11-08,3625.0,0
3623.6,IF2312.CCFX,2023-11-09,3613.0,0
3592.2,IF2312.CCFX,2023-11-10,3605.8,0
3591.4,IF2312.CCFX,2023-11-13,3626.0,0
3590.8,IF2312.CCFX,2023-11-14,3599.4,0
3614.6,IF2312.CCFX,2023-11-15,3627.0,0
3577.0,IF2312.CCFX,2023-11-16,3606.0,0
3571.0,IF2312.CCFX,2023-11-17,3566.0,0
3582.0,IF2312.CCFX,2023-11-20,3574.8,0
3589.0,IF2312.CCFX,2023-11-21,3598.0,0
3548.6,IF2312.CCFX,2023-11-22,3577.2,0
3571.6,IF2312.CCFX,2023-11-23,3547.0,0
3542.4,IF2312.CCFX,2023-11-24,3562.0,0
3517.2,IF2312.CCFX,2023-11-27,3539.0,0
3523.2,IF2312.CCFX,2023-11-28,3511.4,0
3497.4,IF2312.CCFX,2023-11-29,3529.0,0
3502.6,IF2312.CCFX,2023-11-30,3496.0,0
3484.0,IF2312.CCFX,2023-12-01,3497.0,0
3458.4,IF2312.CCFX,2023-12-04,3485.0,0
3380.0,IF2312.CCFX,2023-12-05,3450.6,0
3391.4,IF2312.CCFX,2023-12-06,3379.0,0
3387.6,IF2312.CCFX,2023-12-07,3380.8,0
3395.6,IF2312.CCFX,2023-12-08,3389.4,0
3418.6,IF2312.CCFX,2023-12-11,3373.0,0
3427.0,IF2312.CCFX,2023-12-12,3412.8,0
3368.0,IF2312.CCFX,2023-12-13,3415.2,0
3352.4,IF2312.CCFX,2023-12-14,3388.8,0
3342.6,IF2401.CCFX,2023-12-15,3363.0,1
3335.0,IF2401.CCFX,2023-12-18,3328.0,0
3341.8,IF2401.CCFX,2023-12-19,3331.8,0
3309.6,IF2401.CCFX,2023-12-20,3347.0,0
3342.4,IF2401.CCFX,2023-12-21,3296.0,0
3348.0,IF2401.CCFX,2023-12-22,3340.0,0
3356.2,IF2401.CCFX,2023-12-25,3346.4,0
3333.4,IF2401.CCFX,2023-12-26,3357.4,0
3342.2,IF2401.CCFX,2023-12-27,3342.0,0
3432.2,IF2401.CCFX,2023-12-28,3339.0,0
3439.4,IF2401.CCFX,2023-12-29,3430.0,0
3388.2,IF2401.CCFX,2024-01-02,3439.4,0
3383.0,IF2401.CCFX,2024-01-03,3385.0,0
3350.2,IF2401.CCFX,2024-01-04,3381.6,0
3334.2,IF2401.CCFX,2024-01-05,3340.2,0
3279.6,IF2401.CCFX,2024-01-08,3329.0,0
3292.4,IF2401.CCFX,2024-01-09,3285.0,0
3278.2,IF2401.CCFX,2024-01-10,3280.0,0
3297.6,IF2401.CCFX,2024-01-11,3277.6,0
3286.4,IF2401.CCFX,2024-01-12,3281.6,0
3280.2,IF2401.CCFX,2024-01-15,3270.0,0
3301.4,IF2401.CCFX,2024-01-16,3272.0,0
3222.4,IF2401.CCFX,2024-01-17,3288.0,0
3249.2,IF2401.CCFX,2024-01-18,3213.8,0
3242.0,IF2402.CCFX,2024-01-19,3224.0,1
3179.0,IF2402.CCFX,2024-01-22,3239.0,0
3211.0,IF2403.CCFX,2024-01-23,3160.0,1
3264.8,IF2403.CCFX,2024-01-24,3236.8,0
3335.2,IF2403.CCFX,2024-01-25,3265.8,0
3326.0,IF2403.CCFX,2024-01-26,3325.0,0
3289.2,IF2403.CCFX,2024-01-29,3331.0,0
3235.6,IF2403.CCFX,2024-01-30,3279.2,0
3206.6,IF2403.CCFX,2024-01-31,3228.6,0
3208.4,IF2403.CCFX,2024-02-01,3200.0,0
3156.0,IF2403.CCFX,2024-02-02,3218.0,0
3131.2,IF2403.CCFX,2024-02-05,3137.0,0
3278.6,IF2403.CCFX,2024-02-06,3121.0,0
3316.6,IF2403.CCFX,2024-02-07,3279.0,0
3353.6,IF2403.CCFX,2024-02-08,3334.0,0
3373.0,IF2403.CCFX,2024-02-19,3385.0,0
3387.0,IF2403.CCFX,2024-02-20,3373.0,0
3455.0,IF2403.CCFX,2024-02-21,3374.2,0
3484.0,IF2403.CCFX,2024-02-22,3451.2,0
3487.0,IF2403.CCFX,2024-02-23,3488.8,0
3445.4,IF2403.CCFX,2024-02-26,3481.6,0
3497.4,IF2403.CCFX,2024-02-27,3441.8,0
3456.8,IF2403.CCFX,2024-02-28,3500.0,0
3515.4,IF2403.CCFX,2024-02-29,3460.0,0
3540.0,IF2403.CCFX,2024-03-01,3505.2,0
3531.0,IF2403.CCFX,2024-03-04,3538.0,0
3545.6,IF2403.CCFX,2024-03-05,3517.0,0
3545.2,IF2403.CCFX,2024-03-06,3542.6,0
3526.0,IF2403.CCFX,2024-03-07,3545.6,0
3541.0,IF2403.CCFX,2024-03-08,3536.0,0
3590.2,IF2403.CCFX,2024-03-11,3540.0,0
3598.4,IF2403.CCFX,2024-03-12,3594.2,0
3577.8,IF2403.CCFX,2024-03-13,3594.0,0
3566.0,IF2403.CCFX,2024-03-14,3582.0,0
3574.0,IF2404.CCFX,2024-03-15,3554.2,1
3607.8,IF2404.CCFX,2024-03-18,3578.0,0
3582.4,IF2404.CCFX,2024-03-19,3597.6,0
3585.0,IF2404.CCFX,2024-03-20,3580.0,0
3584.2,IF2404.CCFX,2024-03-21,3595.6,0
3540.2,IF2404.CCFX,2024-03-22,3582.4,0
3532.0,IF2404.CCFX,2024-03-25,3535.0,0
3542.8,IF2404.CCFX,2024-03-26,3538.2,0
3504.8,IF2404.CCFX,2024-03-27,3536.0,0
3521.8,IF2404.CCFX,2024-03-28,3508.6,0
3539.2,IF2404.CCFX,2024-03-29,3520.4,0
3600.4,IF2404.CCFX,2024-04-01,3555.6,0
3589.6,IF2404.CCFX,2024-04-02,3595.4,0
3574.6,IF2404.CCFX,2024-04-03,3589.0,0
3541.8,IF2404.CCFX,2024-04-08,3558.2,0
3536.4,IF2404.CCFX,2024-04-09,3546.0,0
3508.6,IF2404.CCFX,2024-04-10,3529.6,0
3508.8,IF2404.CCFX,2024-04-11,3490.2,0
3472.4,IF2404.CCFX,2024-04-12,3506.0,0
3546.4,IF2404.CCFX,2024-04-15,3479.6,0
3514.0,IF2404.CCFX,2024-04-16,3534.0,0
3563.4,IF2404.CCFX,2024-04-17,3520.4,0
